regime,n_accelerators,bundle,bundle_sea,sum_of_individual_sea,additivity_error,capped,recovery_pressure,within_validity_envelope,shapley_bandwidth_2x,shapley_flat_fabric,shapley_fast_detection,shapley_fast_restart,shapley_fast_checkpoint,shapley_reliability_2x
reliable_flat,16384,network_pair,263.8535531537673,263.8535531537673,0.0,0.0,0.0489790753535497,True,263.8535531537673,0.0,,,,
reliable_flat,16384,recovery_trio,1010.759243398148,995.9734473813224,-0.0146284054421469,0.0,0.0489790753535497,True,,,132.66012479791607,318.3477744426127,559.7513441576193,
reliable_flat,16384,mixed_quad,580.1482219826576,576.4352432223604,-0.006400051951565,0.0,0.0489790753535497,True,265.71004253391584,0.0,,314.4381794487417,,0.0
reliable_flat,65536,network_pair,4515.500947702414,4515.500947702414,0.0,0.0,0.1400036692955395,True,4515.500947702414,0.0,,,,
reliable_flat,65536,recovery_trio,23824.968104533255,22663.686794629873,-0.0487421978828345,0.0,0.1400036692955395,True,,,4237.435370608007,10155.090252914408,9432.44248101084,
reliable_flat,65536,mixed_quad,14440.098987205349,14193.728944022936,-0.017061520381592,0.0,0.1400036692955395,True,4638.68596929362,0.0,,9801.413017911727,,0.0
reliable_oversubscribed,16384,network_pair,331.5034668300468,363.3553496901805,0.0960831063539472,0.0,0.0489790753535497,True,282.06701774346766,49.43644908657916,,,,
reliable_oversubscribed,16384,recovery_trio,1016.5479821850786,1001.677506150274,-0.0146284054421517,0.0,0.0489790753535497,True,,,133.41988516113997,320.1709901309041,562.9571068930344,
reliable_oversubscribed,16384,mixed_quad,650.5403059710989,677.7272323938669,0.0417913020503541,0.0,0.0489790753535497,True,284.0143061909639,49.746934940181745,,316.7790648399532,,0.0
reliable_oversubscribed,65536,network_pair,6487.959650892648,7353.688732821218,0.1334362617081717,0.0,0.1400036692955395,True,5085.229215440158,1402.7304354524897,,,,
reliable_oversubscribed,65536,recovery_trio,24300.552556979383,23116.09021558489,-0.0487421978828338,0.0,0.1400036692955395,True,,,4322.021355011614,10357.802089349312,9620.729112618454,
reliable_oversubscribed,65536,mixed_quad,16713.36982400973,17225.109632573294,0.0306185894258392,0.0,0.1400036692955395,True,5220.020445724731,1437.0613409633224,,10056.288037321676,,0.0
typical,16384,network_pair,353.5552010219326,387.5258830037128,0.0960831063539434,0.0,0.0824470067956847,True,300.8302209131216,52.72498010881099,,,,
typical,16384,recovery_trio,1834.4478797467816,1785.082910426885,-0.0269099873945237,0.0,0.0824470067956847,True,,,284.82720115292796,683.3054948586649,866.3151837351888,
typical,16384,mixed_quad,1813.9311337052604,2139.5124927329052,0.1794893714418969,0.0,0.0824470067956847,True,310.40242576330877,54.26164110587888,,510.5783516289612,,938.6887152071116
typical,65536,network_pair,9118.254390523914,10334.960169699569,0.1334362617081736,0.0,0.2347226518068871,True,7146.840627180558,1971.4137633433563,,,,
unreliable_flat,16384,network_pair,352.8440519186952,352.8440519186952,0.0,0.0,0.1900648147780719,True,352.8440519186952,0.0,,,,
unreliable_flat,16384,recovery_trio,5596.2757299503355,5213.863154531977,-0.06833340490565,0.0,0.1900648147780719,True,,,1062.2568363333914,2541.7691777599784,1992.2497158569652,
unreliable_flat,16384,mixed_quad,7070.396441980371,8869.533531053592,0.2544605672166942,0.0,0.1900648147780719,True,395.9906158306391,0.0,,1450.040789402272,,5224.365036747458
unreliable_oversubscribed,16384,network_pair,443.8825501039173,486.53216437421,0.0960831063539397,0.0,0.1900648147780719,True,377.6872330580099,66.19531704590736,,,,
unreliable_oversubscribed,16384,recovery_trio,5635.59025118703,5250.491180670324,-0.0683334049056515,0.0,0.1900648147780719,True,,,1069.719320486442,2559.6254170054876,2006.2455136951,
unreliable_oversubscribed,16384,mixed_quad,7228.418814691169,9063.052428400895,0.2538084276440907,0.0,0.1900648147780719,True,423.0773620981105,73.49551431817508,,1462.257839530301,,5269.588098744583
