scenario,fidelity,n_pool,world_size,window_days,productive,blocked_comm,blocked_sync,blocked_bubble,blocked_checkpoint,blocked_restart,discarded,unavailable_down,unavailable_spare_stranded,total,ucf,productive_accelerators,tokens_per_second,ettr,step_efficiency,t_step_s,job_mttf_hours,checkpoint_interval_s,n_failures,recovery_pressure,within_validity_envelope,n_accelerators,oversubscription
reference_405b_16k@pool1055,analytical,1055,1024,30.0,2135627380.1769664,268676233.41879356,180203530.02335143,15641802.100905515,22572794.716548778,5878939.903052835,25054359.66038186,552960.0,80352000.0,2734560000.0,0.7809766032476766,823.9303164262988,167060.13131625825,0.9798368312861103,0.8213480938052886,98.38080010950198,37.5,2303.7900077244503,19.13646275718565,0.011756872906153567,True,1024,1.0
reference_405b_16k@pool1055,analytical,1055,1024,30.0,2135627380.1769664,268676233.41879356,180203530.02335143,15641802.100905515,22572794.716548778,5878939.903052835,25054359.66038186,552960.0,80352000.0,2734560000.0,0.7809766032476766,823.9303164262988,167060.13131625825,0.9798368312861103,0.8213480938052886,98.38080010950198,37.5,2303.7900077244503,19.13646275718565,0.011756872906153567,True,1024,4.0
reference_405b_16k@pool1055,analytical,1055,1024,30.0,2135627380.1769664,268676233.41879356,180203530.02335143,15641802.100905515,22572794.716548778,5878939.903052835,25054359.66038186,552960.0,80352000.0,2734560000.0,0.7809766032476766,823.9303164262988,167060.13131625825,0.9798368312861103,0.8213480938052886,98.38080010950198,37.5,2303.7900077244503,19.13646275718565,0.011756872906153567,True,1024,7.0
reference_405b_16k@pool1055,analytical,1055,1024,30.0,2135627380.1769664,268676233.41879356,180203530.02335143,15641802.100905515,22572794.716548778,5878939.903052835,25054359.66038186,552960.0,80352000.0,2734560000.0,0.7809766032476766,823.9303164262988,167060.13131625825,0.9798368312861103,0.8213480938052886,98.38080010950198,37.5,2303.7900077244503,19.13646275718565,0.011756872906153567,True,1024,16.0
reference_405b_16k@pool2110,analytical,2110,2048,30.0,4182219157.1625137,530777214.12578136,372872258.81207937,61262975.93499776,63420824.5172678,23442182.33222053,73315467.11513983,1105920.0,160704000.0,5469120000.0,0.7646969086731529,1613.5104773003525,327155.42424402,0.9698192735019868,0.8125339465302518,49.724004136712146,18.75,1623.1676725154985,38.15459363957551,0.018451505120211244,True,2048,1.0
reference_405b_16k@pool2110,analytical,2110,2048,30.0,4182219157.1625137,530777214.12578136,372872258.81207937,61262975.93499776,63420824.5172678,23442182.33222053,73315467.11513983,1105920.0,160704000.0,5469120000.0,0.7646969086731529,1613.5104773003525,327155.42424402,0.9698192735019868,0.8125339465302518,49.724004136712146,18.75,1623.1676725154985,38.15459363957551,0.018451505120211244,True,2048,4.0
reference_405b_16k@pool2110,analytical,2110,2048,30.0,4182219157.1625137,530777214.12578136,372872258.81207937,61262975.93499776,63420824.5172678,23442182.33222053,73315467.11513983,1105920.0,160704000.0,5469120000.0,0.7646969086731529,1613.5104773003525,327155.42424402,0.9698192735019868,0.8125339465302518,49.724004136712146,18.75,1623.1676725154985,38.15459363957551,0.018451505120211244,True,2048,7.0
reference_405b_16k@pool2110,analytical,2110,2048,30.0,4182219157.1625137,530777214.12578136,372872258.81207937,61262975.93499776,63420824.5172678,23442182.33222053,73315467.11513983,1105920.0,160704000.0,5469120000.0,0.7646969086731529,1613.5104773003525,327155.42424402,0.9698192735019868,0.8125339465302518,49.724004136712146,18.75,1623.1676725154985,38.15459363957551,0.018451505120211244,True,2048,16.0
reference_405b_16k@pool4219,analytical,4219,4096,30.0,8082677246.808375,1044053131.8355352,763814397.4518286,236797184.9650891,177377813.66600564,93192450.92186129,216707934.35130417,2211840.0,318816000.0,10935648000.0,0.7391127847941316,3118.316839046441,632269.9993323974,0.9540936753652831,0.798104505395977,25.3114980841035,9.375,1141.8950038622252,75.84021071115014,0.029691787829571267,True,4096,1.0
reference_405b_16k@pool4219,analytical,4219,4096,30.0,8080749246.279686,1046037616.7547128,763814397.4518285,236740700.57460016,177377813.66600564,93192450.92186129,216707934.35130417,2211840.0,318816000.0,10935648000.0,0.7389364806072476,3117.5730116819777,632119.1808776002,0.9540936753652829,0.7979141296255031,25.317537200056833,9.375,1141.8950038622252,75.84021071115014,0.029691787829571267,True,4096,4.0
reference_405b_16k@pool4219,analytical,4219,4096,30.0,8078822165.322435,1048021155.1618826,763814397.4518285,236684243.1246807,177377813.66600564,93192450.92186129,216707934.35130417,2211840.0,318816000.0,10935648000.0,0.7387602605097051,3116.829539090446,631968.4343565715,0.9540936753652829,0.7977238446558971,25.32357631601016,9.375,1141.8950038622252,75.84021071115014,0.029691787829571267,True,4096,7.0
reference_405b_16k@pool4219,analytical,4219,4096,30.0,8073046433.305091,1053966098.0781717,763814397.4518286,236515032.2257351,177377813.66600564,93192450.92186129,216707934.35130417,2211840.0,318816000.0,10935648000.0,0.7382321041519525,3114.6012474170875,631516.6258818248,0.9540936753652827,0.7971535339031298,25.34169366387015,9.375,1141.8950038622252,75.84021071115014,0.029691787829571267,True,4096,16.0
reference_405b_16k@pool8438,analytical,8438,8192,30.0,15248032381.985418,2036620531.2724915,1543397188.0600102,893439397.3819581,492063053.33628094,368243544.1457069,647444223.818135,4423680.0,637632000.0,21871296000.0,0.6971709578611811,5882.728542432646,1192782.1846140404,0.9289776365723424,0.7731683949627959,13.063920350893746,4.6875,801.5838362577492,149.83868169991328,0.04897907535354979,True,8192,1.0
reference_405b_16k@pool8438,analytical,8438,8192,30.0,15238610896.406864,2046594057.021664,1543397188.0600102,892887357.2113397,492063053.33628094,368243544.1457069,647444223.818135,4423680.0,637632000.0,21871296000.0,0.6967401884372496,5879.093710033512,1192045.185906983,0.9289776365723422,0.772690668086275,13.071997303446837,4.6875,801.5838362577492,149.83868169991328,0.04897907535354979,True,8192,4.0
reference_405b_16k@pool8438,analytical,8438,8192,30.0,15229201046.372654,2056555265.456318,1543397188.0600102,892335998.8108976,492063053.33628094,368243544.1457069,647444223.818135,4423680.0,637632000.0,21871296000.0,0.6963099510139982,5875.463366656117,1191309.0973940836,0.9289776365723424,0.772213531202936,13.08007425599993,4.6875,801.5838362577492,149.83868169991328,0.04897907535354979,True,8192,7.0
reference_405b_16k@pool8438,analytical,8438,8192,30.0,15201041094.385992,2086365214.6296961,1543397188.0600102,890686001.6241792,492063053.33628094,368243544.1457069,647444223.818135,4423680.0,637632000.0,21871296000.0,0.695022420911225,5864.599187648917,1189106.276190152,0.9289776365723424,0.7707856496025874,13.104305113659208,4.6875,801.5838362577492,149.83868169991328,0.04897907535354979,True,8192,16.0
reference_405b_16k@pool16876,analytical,16876,16384,30.0,27523780787.191715,3919898843.9217625,3054672068.2296047,3225443060.999029,1345002683.1557155,1438051842.1676545,1951631354.3345203,8847360.0,1275264000.0,43742592000.0,0.6292215328070114,10618.742587651124,2153056.5094399266,0.8884866860921691,0.7296132576812404,6.921893361506845,2.34375,560.9475019311126,292.57239627434376,0.08244700679568473,True,16384,1.0
reference_405b_16k@pool16876,analytical,16876,16384,30.0,27483575147.15054,3964816082.4052634,3054672068.229605,3220731462.5567036,1345002683.1557155,1438051842.1676545,1951631354.3345203,8847360.0,1275264000.0,43742592000.0,0.6283023911146038,10603.231152450055,2149911.410455301,0.8884866860921689,0.7285474677654432,6.932019378642756,2.34375,560.9475019311126,292.57239627434376,0.08244700679568473,True,16384,4.0
reference_405b_16k@pool16876,analytical,16876,16384,30.0,27443486797.363834,4009602285.6826,3054672068.229605,3216033609.0660744,1345002683.1557155,1438051842.1676545,1951631354.3345203,8847360.0,1275264000.0,43742592000.0,0.627385930796324,10587.764968118763,2146775.4865381503,0.8884866860921691,0.727484787034584,6.942145395778667,2.34375,560.9475019311126,292.57239627434376,0.08244700679568473,True,16384,7.0
reference_405b_16k@pool16876,analytical,16876,16384,30.0,27323920379.401596,4143180393.249784,3054672068.229605,3202021919.4611244,1345002683.1557155,1438051842.1676545,1951631354.3345203,8847360.0,1275264000.0,43742592000.0,0.6246525212635227,10541.635948843208,2137422.3654500833,0.8884866860921687,0.724315264489945,6.972523447186401,2.34375,560.9475019311126,292.57239627434376,0.08244700679568473,True,16384,16.0
reference_405b_16k@pool33752,analytical,33752,32768,30.0,45968836707.24737,7360469676.861506,5846331254.822858,10773946103.261103,3579888963.7796955,5491800244.462409,5895688329.565085,17694720.0,2550528000.0,87485184000.0,0.5254471055035715,17734.890704956546,3595926.8775304896,0.8237410134301127,0.6571709829849848,3.8424590369707117,1.171875,390.7919181288746,558.6548100242522,0.14000366929553953,True,32768,1.0
