intervention,baseline_pool,baseline_productive_accelerators,treated_productive_accelerators,delta_productive_accelerators,sea,sea_fraction_of_pool,attainable_by_scaling,best_throughput_by_scaling,naive_equivalent,baseline_ucf,treated_ucf,cost_accelerator_equivalents,regime,n_accelerators,description,recovery_pressure,within_validity_envelope
bandwidth_2x,4219.0,3170.0439237314827,3192.5542547321925,22.51033100070981,32.57213585394311,0.00772034507085639,1.0,42543.19652669684,22.51033100070979,0.7513732931337954,0.7567087591211643,,reliable_flat,4096,"Double per-accelerator scale-out bandwidth, 400 to 800 Gbps",0.01845150512019901,True
bandwidth_4x,4219.0,3170.0439237314827,3203.9297309846766,33.88580725319389,49.03229176580044,0.01162178046119944,1.0,42543.19652669684,33.88580725319444,0.7513732931337954,0.7594050085291957,,reliable_flat,4096,"Quadruple per-accelerator scale-out bandwidth, 400 to 1600 Gbps",0.01845150512019901,True
flat_fabric,4219.0,3170.0439237314827,3170.0439237314827,0.0,0.0,0.0,1.0,42543.19652669684,0.0,0.7513732931337954,0.7513732931337954,,reliable_flat,4096,"Remove cross-pod oversubscription, 1:7 to 1:1",0.01845150512019901,True
scaleup_2x,4219.0,3170.0439237314827,3170.0439237314827,0.0,0.0,0.0,1.0,42543.19652669684,0.0,0.7513732931337954,0.7513732931337954,,reliable_flat,4096,"Double the scale-up domain, 8 to 16 accelerators",0.01845150512019901,True
reliability_2x,4219.0,3170.0439237314827,3170.0439237314827,0.0,0.0,0.0,1.0,42543.19652669684,0.0,0.7513732931337954,0.7513732931337954,,reliable_flat,4096,Halve the node failure rate through hardware and firmware work,0.01845150512019901,True
fast_detection,4219.0,3170.0439237314827,3174.718125919232,4.674202187749415,6.763505550557056,0.0016031063167947514,1.0,42543.19652669684,4.674202187749155,0.7513732931337954,0.7524811865179503,,reliable_flat,4096,Cut failure detection from 120 s to 20 s with finer telemetry,0.01845150512019901,True
fast_restart,4219.0,3170.0439237314827,3181.2852142411693,11.241290509686678,16.2659910084667,0.00385541384414949,1.0,42543.19652669684,11.241290509685873,0.7513732931337954,0.7540377374356885,,reliable_flat,4096,Cut restart and reinitialization from 300 s to 60 s,0.01845150512019901,True
fast_checkpoint,4219.0,3170.0439237314827,3209.1036498424696,39.05972611098696,56.51888038717607,0.013396274090347491,1.0,42543.19652669684,39.05972611098709,0.7513732931337954,0.7606313462532519,,reliable_flat,4096,Cut blocking checkpoint write from 20 s to 5 s with faster storage,0.01845150512019901,True
add_spares,4219.0,3170.0439237314827,3170.0439237314827,0.0,0.0,0.0,1.0,42543.19652669684,0.0,0.7513732931337954,0.7513732931337954,,reliable_flat,4096,Hold 5 percent of the pool as hot spares instead of 3 percent,0.01845150512019901,True
straggler_control,4219.0,3170.0439237314827,3294.272613807935,124.2286900764525,179.75718660023176,0.042606586063103045,1.0,42543.19652669684,124.2286900764528,0.7513732931337954,0.7808183488523193,,reliable_flat,4096,Halve per-rank timing jitter through placement and tuning,0.01845150512019901,True
