intervention,baseline_pool,baseline_productive_accelerators,treated_productive_accelerators,delta_productive_accelerators,sea,sea_fraction_of_pool,attainable_by_scaling,best_throughput_by_scaling,naive_equivalent,baseline_ucf,treated_ucf,cost_accelerator_equivalents,case,n_accelerators,baseline_blocked_comm_share,baseline_failure_share,recovery_pressure,within_validity_envelope
bandwidth_2x,1055.0,823.9303164262988,828.6741934711179,4.743877044819101,6.293802756966443,0.005965689817029804,1.0,25798.09316603087,4.743877044819226,0.7809766032476766,0.7854731691669364,,tiny_job,1024,0.09825208933751446,0.011311984218095305,0.011756872906153567,True
bandwidth_4x,1055.0,823.9303164262988,831.0666762147492,7.136359788450477,9.467960591496876,0.008974370228906991,1.0,25798.09316603087,7.136359788450608,0.7809766032476766,0.7877409253220372,,tiny_job,1024,0.09825208933751446,0.011311984218095305,0.011756872906153567,True
flat_fabric,1055.0,823.9303164262988,823.9303164262988,0.0,0.0,0.0,1.0,25798.09316603087,0.0,0.7809766032476766,0.7809766032476766,,tiny_job,1024,0.09825208933751446,0.011311984218095305,0.011756872906153567,True
scaleup_2x,1055.0,823.9303164262988,823.9303164262988,0.0,0.0,0.0,1.0,25798.09316603087,0.0,0.7809766032476766,0.7809766032476766,,tiny_job,1024,0.09825208933751446,0.011311984218095305,0.011756872906153567,True
reliability_2x,1055.0,823.9303164262988,829.4879895203874,5.557673094088614,7.37348331573935,0.006989083711601279,1.0,25798.09316603087,5.45100642742189,0.7809766032476766,0.7862445398297511,,tiny_job,1024,0.09825208933751446,0.011311984218095305,0.011756872906153567,True
fast_detection,1055.0,823.9303164262988,824.5391918685991,0.6088754423003593,0.8078080230989144,0.0007656948086245634,1.0,25798.09316603087,0.6088754423002218,0.7809766032476766,0.7815537363683404,,tiny_job,1024,0.09825208933751446,0.011311984218095305,0.011756872906153567,True
fast_restart,1055.0,823.9303164262988,825.3931308931435,1.4628144668447476,1.9407471225276822,0.0018395707322537273,1.0,25798.09316603087,1.4628144668448302,0.7809766032476766,0.7823631572446857,,tiny_job,1024,0.09825208933751446,0.011311984218095305,0.011756872906153567,True
fast_checkpoint,1055.0,823.9303164262988,831.0831190662714,7.152802639972606,9.489775672972428,0.008995048031253486,1.0,25798.09316603087,7.152802639972625,0.7809766032476766,0.7877565109632904,,tiny_job,1024,0.09825208933751446,0.011311984218095305,0.011756872906153567,True
add_spares,1055.0,823.9303164262988,823.9303842817844,6.78554856676783e-05,9.002531874102715e-05,8.533205567869872e-08,1.0,25798.09316603087,6.785548540453117e-05,0.7809766032476766,0.7809766675656724,,tiny_job,1024,0.09825208933751446,0.011311984218095305,0.011756872906153567,True
straggler_control,1055.0,823.9303164262988,853.5064838892895,29.576167462990725,39.23933157634565,0.03719367921928497,1.0,25798.09316603087,29.57616746299086,0.7809766032476766,0.809010885203118,,tiny_job,1024,0.09825208933751446,0.011311984218095305,0.011756872906153567,True
bandwidth_2x,16876.0,9971.210084969482,10357.357729993771,386.1476450242899,1007.432949944061,0.05969619281488866,1.0,24938.007071338674,386.1476450242908,0.5908515101309244,0.6137329776009582,,short_sequence,16384,0.13247937133131318,0.07749159438247681,0.08244700679568473,True
bandwidth_4x,16876.0,9971.210084969482,10561.868548249955,590.6584632804734,1540.9877691592337,0.09131238262379911,1.0,24938.007071338674,590.6584632804739,0.5908515101309244,0.6258514190714598,,short_sequence,16384,0.13247937133131318,0.07749159438247681,0.08244700679568473,True
flat_fabric,16876.0,9971.210084969482,10085.479810037856,114.2697250683741,298.1219429881203,0.017665438669597078,1.0,24938.007071338674,114.26972506837345,0.5908515101309244,0.5976226481416127,,short_sequence,16384,0.13247937133131318,0.07749159438247681,0.08244700679568473,True
scaleup_2x,16876.0,9971.210084969482,9971.210084969482,0.0,0.0,0.0,1.0,24938.007071338674,0.0,0.5908515101309244,0.5908515101309244,,short_sequence,16384,0.13247937133131318,0.07749159438247681,0.08244700679568473,True
reliability_2x,16876.0,9971.210084969482,10426.7136735506,455.5035885811176,1188.377890859636,0.07041822060083171,1.0,24938.007071338674,453.79692191445315,0.5908515101309244,0.6178427159013155,,short_sequence,16384,0.13247937133131318,0.07749159438247681,0.08244700679568473,True
fast_detection,16876.0,9971.210084969482,10085.069178146408,113.85909317692676,297.0506323040536,0.0176019573538785,1.0,24938.007071338674,113.85909317692857,0.5908515101309244,0.5975983158418113,,short_sequence,16384,0.13247937133131318,0.07749159438247681,0.08244700679568473,True
fast_restart,16876.0,9971.210084969482,10248.911323193173,277.7012382236917,724.5036483628282,0.04293100547302846,1.0,24938.007071338674,277.70123822369396,0.5908515101309244,0.6073069046689484,,short_sequence,16384,0.13247937133131318,0.07749159438247681,0.08244700679568473,True
fast_checkpoint,16876.0,9971.210084969482,10326.705352569177,355.4952675996956,927.4629814370273,0.05495751252885917,1.0,24938.007071338674,355.49526759969893,0.5908515101309244,0.611916648054585,,short_sequence,16384,0.13247937133131318,0.07749159438247681,0.08244700679568473,True
add_spares,16876.0,9971.210084969482,9971.210084969482,0.0,0.0,0.0,1.0,24938.007071338674,0.0,0.5908515101309244,0.5908515101309244,,short_sequence,16384,0.13247937133131318,0.07749159438247681,0.08244700679568473,True
straggler_control,16876.0,9971.210084969482,10391.952583059987,420.74249809050525,1097.6885693333388,0.06504435703563279,1.0,24938.007071338674,420.74249809050707,0.5908515101309244,0.6157829214896887,,short_sequence,16384,0.13247937133131318,0.07749159438247681,0.08244700679568473,True
bandwidth_2x,16876.0,10859.498863284094,10928.08395488768,68.58509160358517,147.3186359309184,0.008729475938072908,1.0,34096.00058361805,68.58509160358228,0.6434877259590006,0.6475517868504195,,long_sequence,16384,0.07367484896088423,0.07749159438247681,0.08244700679568473,True
bandwidth_4x,16876.0,10859.498863284094,10962.702400814534,103.20353753044037,221.67797719227383,0.013135694310990391,1.0,34096.00058361805,103.2035375304362,0.6434877259590006,0.6496031287517501,,long_sequence,16384,0.07367484896088423,0.07749159438247681,0.08244700679568473,True
flat_fabric,16876.0,10859.498863284094,10866.755007015034,7.256143730939584,15.585970238826121,0.000923558321807663,1.0,34096.00058361805,7.256143730937699,0.6434877259590006,0.6439176941819764,,long_sequence,16384,0.07367484896088423,0.07749159438247681,0.08244700679568473,True
scaleup_2x,16876.0,10859.498863284094,10859.498863284094,0.0,0.0,0.0,1.0,34096.00058361805,0.0,0.6434877259590006,0.6434877259590006,,long_sequence,16384,0.07367484896088423,0.07749159438247681,0.08244700679568473,True
reliability_2x,16876.0,10859.498863284094,11355.581150214832,496.0822869307376,1065.569267480656,0.06314110378529604,1.0,34096.00058361805,494.3756202640703,0.6434877259590006,0.6728834528451548,,long_sequence,16384,0.07367484896088423,0.07749159438247681,0.08244700679568473,True
fast_detection,16876.0,10859.498863284094,10983.501134060962,124.00227077686759,266.35300698832,0.01578294660987912,1.0,34096.00058361805,124.0022707768664,0.6434877259590006,0.6508355732437165,,long_sequence,16384,0.07367484896088423,0.07749159438247681,0.08244700679568473,True
fast_restart,16876.0,10859.498863284094,11161.939214567898,302.44035128380347,649.6324341027503,0.03849445568278918,1.0,34096.00058361805,302.4403512838034,0.6434877259590006,0.6614090551414967,,long_sequence,16384,0.07367484896088423,0.07749159438247681,0.08244700679568473,True
fast_checkpoint,16876.0,10859.498863284094,11246.663552575023,387.16468929092844,831.6176675336719,0.04927812677966769,1.0,34096.00058361805,387.16468929092974,0.6434877259590006,0.6664294591476074,,long_sequence,16384,0.07367484896088423,0.07749159438247681,0.08244700679568473,True
add_spares,16876.0,10859.498863284094,10859.498863284094,0.0,0.0,0.0,1.0,34096.00058361805,0.0,0.6434877259590006,0.6434877259590006,,long_sequence,16384,0.07367484896088423,0.07749159438247681,0.08244700679568473,True
straggler_control,16876.0,10859.498863284094,11317.723355679107,458.22449239501293,984.2519065213492,0.058322582751916874,1.0,34096.00058361805,458.22449239501174,0.6434877259590006,0.6706401609195963,,long_sequence,16384,0.07367484896088423,0.07749159438247681,0.08244700679568473,True
bandwidth_2x,16876.0,10587.764968118763,10728.994694259967,141.22972614120408,259.00261875674187,0.015347393858541234,1.0,59316.61605248352,141.229726141207,0.627385930796324,0.6357546038314748,,weak_scaling,16384,0.09166357324418727,0.07749159438247681,0.08244700679568473,True
bandwidth_4x,16876.0,10587.764968118763,10801.031936635807,213.266968517044,391.11244388450723,0.023175660339209956,1.0,59316.61605248352,213.2669685170415,0.627385930796324,0.6400232244984478,,weak_scaling,16384,0.09166357324418727,0.07749159438247681,0.08244700679568473,True
flat_fabric,16876.0,10587.764968118763,10618.742587651124,30.977619532361132,56.81016880050811,0.0033663290353465342,1.0,59316.61605248352,30.97761953236218,0.627385930796324,0.6292215328070114,,weak_scaling,16384,0.09166357324418727,0.07749159438247681,0.08244700679568473,True
scaleup_2x,16876.0,10587.764968118763,10587.764968118763,0.0,0.0,0.0,1.0,59316.61605248352,0.0,0.627385930796324,0.627385930796324,,weak_scaling,16384,0.09166357324418727,0.07749159438247681,0.08244700679568473,True
reliability_2x,16876.0,10587.764968118763,11071.433940784515,483.6689726657514,887.0054056931549,0.05256016862367593,1.0,59316.61605248352,481.9623059990833,0.627385930796324,0.6560460974629364,,weak_scaling,16384,0.09166357324418727,0.07749159438247681,0.08244700679568473,True
fast_detection,16876.0,10587.764968118763,10708.664368268563,120.89940014979948,221.71862893517027,0.0131381031604154,1.0,59316.61605248352,120.89940014980016,0.627385930796324,0.634549915161683,,weak_scaling,16384,0.09166357324418727,0.07749159438247681,0.08244700679568473,True
fast_restart,16876.0,10587.764968118763,10882.637447648614,294.87247952985126,540.7696133402242,0.0320437078300678,1.0,59316.61605248352,294.8724795298518,0.627385930796324,0.6448588200787281,,weak_scaling,16384,0.09166357324418727,0.07749159438247681,0.08244700679568473,True
fast_checkpoint,16876.0,10587.764968118763,10965.241754642171,377.476786523408,692.2584848156694,0.041020294193865214,1.0,59316.61605248352,377.4767865234091,0.627385930796324,0.6497536000617546,,weak_scaling,16384,0.09166357324418727,0.07749159438247681,0.08244700679568473,True
add_spares,16876.0,10587.764968118763,10587.764968118763,0.0,0.0,0.0,1.0,59316.61605248352,0.0,0.627385930796324,0.627385930796324,,weak_scaling,16384,0.09166357324418727,0.07749159438247681,0.08244700679568473,True
straggler_control,16876.0,10587.764968118763,11034.52345018068,446.7584820619177,819.3148848149176,0.04854911618955426,1.0,59316.61605248352,446.7584820619159,0.627385930796324,0.6538589387402631,,weak_scaling,16384,0.09166357324418727,0.07749159438247681,0.08244700679568473,True
bandwidth_2x,16876.0,10841.461173550251,10744.87654540272,-96.58462814753148,0.0,0.0,1.0,34429.85855689645,-96.58462814752923,0.6424188891651014,0.6366956947975065,,perfect_network,16384,0.07486894006656869,0.07749159438247681,0.08244700679568473,True
bandwidth_4x,16876.0,10841.461173550251,10809.073942824505,-32.38723072574612,0.0,0.0,1.0,34429.85855689645,-32.38723072574683,0.6424188891651014,0.640499759589032,,perfect_network,16384,0.07486894006656869,0.07749159438247681,0.08244700679568473,True
flat_fabric,16876.0,10841.461173550251,10841.461173550251,0.0,0.0,0.0,1.0,34429.85855689645,0.0,0.6424188891651014,0.6424188891651014,,perfect_network,16384,0.07486894006656869,0.07749159438247681,0.08244700679568473,True
scaleup_2x,16876.0,10841.461173550251,10841.461173550251,0.0,0.0,0.0,1.0,34429.85855689645,0.0,0.6424188891651014,0.6424188891651014,,perfect_network,16384,0.07486894006656869,0.07749159438247681,0.08244700679568473,True
reliability_2x,16876.0,10841.461173550251,11336.719464964552,495.2582914143004,1060.8171619413806,0.06285951421790593,1.0,34429.85855689645,493.55162474763245,0.6424188891651014,0.6717657895807391,,perfect_network,16384,0.07486894006656869,0.07749159438247681,0.08244700679568473,True
fast_detection,16876.0,10841.461173550251,10965.257475846001,123.79630229575014,265.16515591327334,0.01571255960614324,1.0,34429.85855689645,123.79630229574883,0.6424188891651014,0.649754531633444,,perfect_network,16384,0.07486894006656869,0.07749159438247681,0.08244700679568473,True
