intervention,n_accelerators,failure_rate_per_node_day,sea,naive,ratio_naive_over_sea,baseline_ucf,ettr_times_step_efficiency,marginal_productivity,recovery_pressure,within_validity_envelope
bandwidth_2x,2048,0.001,13.636568543773137,10.200259732388329,0.7480078070700616,0.7791017760277843,0.8027213116718201,0.7791017760277843,0.006705837041106837,True
bandwidth_4x,2048,0.001,20.518510438196245,15.348005997218651,0.748007807070028,0.7791017760277843,0.8027213116718201,0.7791017760277843,0.006705837041106837,True
flat_fabric,2048,0.001,0.0,0.0,,0.7791017760277843,0.8027213116718201,0.7791017760277843,0.006705837041106837,True
scaleup_2x,2048,0.001,0.0,0.0,,0.7791017760277843,0.8027213116718201,0.7791017760277843,0.006705837041106837,True
reliability_2x,2048,0.001,0.0,-13.429850669730408,,0.7791017760277843,0.8027213116718201,0.7791017760277843,0.006705837041106837,True
fast_detection,2048,0.001,0.6505567111089476,0.4866214988509906,0.7480078070695622,0.7791017760277843,0.8027213116718201,0.7791017760277843,0.006705837041106837,True
fast_restart,2048,0.001,1.5619834267713486,1.1683757977389075,0.7480078070699918,0.7791017760277843,0.8027213116718201,0.7791017760277843,0.006705837041106837,True
fast_checkpoint,2048,0.001,12.028280572514632,8.997247773869354,0.74800780707,0.7791017760277843,0.8027213116718201,0.7791017760277843,0.006705837041106837,True
add_spares,2048,0.001,0.0,0.0,,0.7791017760277843,0.8027213116718201,0.7791017760277843,0.006705837041106837,True
straggler_control,2048,0.001,82.59581240924035,61.782312513403966,0.7480078070700362,0.7791017760277843,0.8027213116718201,0.7791017760277843,0.006705837041106837,True
bandwidth_2x,2048,0.005,13.888671639252607,10.011666415123752,0.7208512574254013,0.7646969086731529,0.788011081719671,0.7646969086731529,0.018451505120211244,True
bandwidth_4x,2048,0.005,20.89784193786818,15.064235638389249,0.7208512574253864,0.7646969086731529,0.788011081719671,0.7646969086731529,0.018451505120211244,True
flat_fabric,2048,0.005,0.0,0.0,,0.7646969086731529,0.788011081719671,0.7646969086731529,0.018451505120211244,True
scaleup_2x,2048,0.005,0.0,0.0,,0.7646969086731529,0.788011081719671,0.7646969086731529,0.018451505120211244,True
reliability_2x,2048,0.005,23.356301699016058,16.623086115208764,0.7117173912815595,0.7646969086731529,0.788011081719671,0.7646969086731529,0.018451505120211244,True
fast_detection,2048,0.005,3.3004134175257605,2.3791071620471316,0.7208512574254077,0.7646969086731529,0.788011081719671,0.7646969086731529,0.018451505120211244,True
fast_restart,2048,0.005,7.937377233212828,5.72166835922104,0.7208512574253786,0.7646969086731529,0.788011081719671,0.7646969086731529,0.018451505120211244,True
fast_checkpoint,2048,0.005,27.57973210475666,19.880884567168575,0.720851257425366,0.7646969086731529,0.788011081719671,0.7646969086731529,0.018451505120211244,True
add_spares,2048,0.005,2.773958840407431e-11,1.9868214925130208e-11,0.71624043715847,0.7646969086731529,0.788011081719671,0.7646969086731529,0.018451505120211244,True
straggler_control,2048,0.005,84.12278452947385,60.640015006195846,0.7208512574253838,0.7646969086731529,0.788011081719671,0.7646969086731529,0.018451505120211244,True
bandwidth_2x,2048,0.015,14.372442150108327,9.7086962205775,0.6755077612543616,0.7415558688518851,0.7644831160478608,0.7415558688518851,0.03967869435755354,True
bandwidth_4x,2048,0.015,21.625756020125664,14.60836603458796,0.6755077612543542,0.7415558688518851,0.7644831160478608,0.7415558688518851,0.03967869435755354,True
flat_fabric,2048,0.015,0.0,0.0,,0.7415558688518851,0.7644831160478608,0.7415558688518851,0.03967869435755354,True
scaleup_2x,2048,0.015,0.0,0.0,,0.7415558688518851,0.7644831160478608,0.7415558688518851,0.03967869435755354,True
reliability_2x,2048,0.015,97.2068971487256,64.59734680475046,0.6645346029913612,0.7415558688518851,0.7644831160478608,0.7415558688518851,0.03967869435755354,True
fast_detection,2048,0.015,10.150334356287658,6.856629636999082,0.6755077612543591,0.7415558688518851,0.7644831160478608,0.7415558688518851,0.03967869435755354,True
fast_restart,2048,0.015,24.511177778877027,16.55749082711606,0.6755077612543282,0.7415558688518851,0.7644831160478608,0.7415558688518851,0.03967869435755354,True
fast_checkpoint,2048,0.015,49.88273086321533,33.69617185066383,0.6755077612543495,0.7415558688518851,0.7644831160478608,0.7415558688518851,0.03967869435755354,True
add_spares,2048,0.015,1.6848480299813673e-07,1.1381267765421926e-07,0.6755070821163491,0.7415558688518851,0.7644831160478608,0.7415558688518851,0.03967869435755354,True
straggler_control,2048,0.015,87.0529511792065,58.80494416164984,0.6755077612543481,0.7415558688518851,0.7644831160478608,0.7415558688518851,0.03967869435755354,True
bandwidth_2x,8192,0.001,90.16522216646626,57.811878328244994,0.6411771294869172,0.7298317849418906,0.7517794444242396,0.7298317849418906,0.01591706481669485,True
bandwidth_4x,8192,0.001,135.885653638019,87.12677333807761,0.6411771294869107,0.7298317849418906,0.7517794444242396,0.7298317849418906,0.01591706481669485,True
flat_fabric,8192,0.001,11.876494584796092,7.614936706246785,0.6411771294869433,0.7298317849418906,0.7517794444242396,0.7298317849418906,0.01591706481669485,True
scaleup_2x,8192,0.001,0.0,0.0,,0.7298317849418906,0.7517794444242396,0.7298317849418906,0.01591706481669485,True
reliability_2x,8192,0.001,0.0,-122.86624058012757,,0.7298317849418906,0.7517794444242396,0.7298317849418906,0.01591706481669485,True
fast_detection,8192,0.001,11.340351064098286,7.2711737426526755,0.6411771294869374,0.7298317849418906,0.7517794444242396,0.7298317849418906,0.01591706481669485,True
fast_restart,8192,0.001,27.26190621603928,17.479710771941477,0.6411771294869123,0.7298317849418906,0.7517794444242396,0.7298317849418906,0.01591706481669485,True
fast_checkpoint,8192,0.001,105.71318215481551,67.78087468295075,0.6411771294869034,0.7298317849418906,0.7517794444242396,0.7298317849418906,0.01591706481669485,True
add_spares,8192,0.001,0.0,0.0,,0.7298317849418906,0.7517794444242396,0.7298317849418906,0.01591706481669485,True
straggler_control,8192,0.001,391.1357913075917,250.7873239101911,0.6411771294869059,0.7298317849418906,0.7517794444242396,0.7298317849418906,0.01591706481669485,True
bandwidth_2x,8192,0.005,95.46205112030293,55.15652647270318,0.5777848456576108,0.6963099510139982,0.7173691011460863,0.6963099510139982,0.04897907535354979,True
bandwidth_4x,8192,0.005,143.86836634372594,83.12496184291994,0.5777848456575945,0.6963099510139982,0.7173691011460863,0.6963099510139982,0.04897907535354979,True
flat_fabric,8192,0.005,12.57418887174208,7.265175776530195,0.5777848456576943,0.6963099510139982,0.7173691011460863,0.6963099510139982,0.04897907535354979,True
scaleup_2x,8192,0.005,0.0,0.0,,0.6963099510139982,0.7173691011460863,0.6963099510139982,0.04897907535354979,True
reliability_2x,8192,0.005,276.01795945672893,158.62566077009615,0.574693259389028,0.6963099510139982,0.7173691011460863,0.6963099510139982,0.04897907535354979,True
fast_detection,8192,0.005,59.138975377298266,34.16960376072224,0.5777848456576229,0.6963099510139982,0.7173691011460863,0.6963099510139982,0.04897907535354979,True
fast_restart,8192,0.005,143.098635934939,82.68022327748272,0.5777848456576062,0.6963099510139982,0.7173691011460863,0.6963099510139982,0.04897907535354979,True
fast_checkpoint,8192,0.005,253.71501251679183,146.59268934802876,0.5777848456575927,0.6963099510139982,0.7173691011460863,0.6963099510139982,0.04897907535354979,True
add_spares,8192,0.005,0.0,0.0,,0.6963099510139982,0.7173691011460863,0.6963099510139982,0.04897907535354979,True
straggler_control,8192,0.005,414.11337994432324,239.26843531587315,0.5777848456575886,0.6963099510139982,0.7173691011460863,0.6963099510139982,0.04897907535354979,True
bandwidth_2x,8192,0.015,107.25720063618246,50.697669357154105,0.4726738070399686,0.6400202101935178,0.6596518494973549,0.6400202101935178,0.11238791312269575,True
bandwidth_4x,8192,0.015,161.64452840723425,76.40513462942619,0.4726738070399588,0.6400202101935178,0.6596518494973549,0.6400202101935178,0.11238791312269575,True
flat_fabric,8192,0.015,14.12783700775799,6.677858503697095,0.4726738070399663,0.6400202101935178,0.6596518494973549,0.6400202101935178,0.11238791312269575,True
scaleup_2x,8192,0.015,0.0,0.0,,0.6400202101935178,0.6596518494973549,0.6400202101935178,0.11238791312269575,True
reliability_2x,8192,0.015,1342.2614447789929,630.1851604799742,0.4694950919816787,0.6400202101935178,0.6596518494973549,0.6400202101935178,0.11238791312269575,True
fast_detection,8192,0.015,192.18514397764375,90.84088366043568,0.4726738070399598,0.6400202101935178,0.6596518494973549,0.6400202101935178,0.11238791312269575,True
fast_restart,8192,0.015,472.3682401848455,223.27609441293683,0.47267380703995937,0.6400202101935178,0.6596518494973549,0.6400202101935178,0.11238791312269575,True
fast_checkpoint,8192,0.015,502.90535492862546,237.7101886948954,0.4726738070399594,0.6400202101935178,0.6596518494973549,0.6400202101935178,0.11238791312269575,True
add_spares,8192,0.015,0.0,0.0,,0.6400202101935178,0.6596518494973549,0.6400202101935178,0.11238791312269575,True
straggler_control,8192,0.015,465.28061525559133,219.925959754754,0.4726738070399573,0.6400202101935178,0.6596518494973549,0.6400202101935178,0.11238791312269575,True
bandwidth_2x,16384,0.001,285.2836017587615,152.61715593868126,0.5349664509204275,0.6779724003595601,0.6983605331985635,0.6779724003595601,0.02540477411277592,True
bandwidth_4x,16384,0.001,430.7986043524834,230.462800431916,0.5349664509204148,0.6779724003595601,0.6983605331985635,0.6779724003595601,0.02540477411277592,True
flat_fabric,16384,0.001,62.57469383795615,33.47536187992493,0.5349664509204465,0.6779724003595601,0.6983605331985635,0.6779724003595601,0.02540477411277592,True
scaleup_2x,16384,0.001,0.0,0.0,,0.6779724003595601,0.6983605331985635,0.6779724003595601,0.02540477411277592,True
reliability_2x,16384,0.001,0.0,-369.00428768342147,,0.6779724003595601,0.6983605331985635,0.6779724003595601,0.02540477411277592,True
fast_detection,16384,0.001,50.31406662631707,26.91633765445521,0.5349664509204362,0.6779724003595601,0.6983605331985635,0.6779724003595601,0.02540477411277592,True
fast_restart,16384,0.001,121.15278100156502,64.81267327154639,0.5349664509204222,0.6779724003595601,0.6983605331985635,0.6779724003595601,0.02540477411277592,True
fast_checkpoint,16384,0.001,334.4237972355768,178.90551191044884,0.5349664509204265,0.6779724003595601,0.6983605331985635,0.6779724003595601,0.02540477411277592,True
add_spares,16384,0.001,0.0,0.0,,0.6779724003595601,0.6983605331985635,0.6779724003595601,0.02540477411277592,True
straggler_control,16384,0.001,902.4507259291167,482.7808619808555,0.5349664509204192,0.6779724003595601,0.6983605331985635,0.6779724003595601,0.02540477411277592,True
bandwidth_2x,16384,0.005,317.8155619040117,141.229726141207,0.4443763712988414,0.627385930796324,0.6463605476148249,0.627385930796324,0.08244700679568473,True
bandwidth_4x,16384,0.005,479.9241865486729,213.2669685170415,0.44437637129882895,0.627385930796324,0.6463605476148249,0.627385930796324,0.08244700679568473,True
flat_fabric,16384,0.005,69.7103210997011,30.97761953236218,0.4443763712988406,0.627385930796324,0.6463605476148249,0.627385930796324,0.08244700679568473,True
scaleup_2x,16384,0.005,0.0,0.0,,0.627385930796324,0.6463605476148249,0.627385930796324,0.08244700679568473,True
reliability_2x,16384,0.005,1088.421896177948,481.9623059990833,0.44280835188222495,0.627385930796324,0.6463605476148249,0.627385930796324,0.08244700679568473,True
fast_detection,16384,0.005,272.0653211070421,120.89940014980016,0.4443763712988366,0.627385930796324,0.6463605476148249,0.627385930796324,0.08244700679568473,True
fast_restart,16384,0.005,663.5647135512445,294.8724795298518,0.4443763712988333,0.627385930796324,0.6463605476148249,0.627385930796324,0.08244700679568473,True
fast_checkpoint,16384,0.005,849.4528757685985,377.4767865234091,0.44437637129883406,0.627385930796324,0.6463605476148249,0.627385930796324,0.08244700679568473,True
add_spares,16384,0.005,0.0,0.0,,0.627385930796324,0.6463605476148249,0.627385930796324,0.08244700679568473,True
straggler_control,16384,0.005,1005.3605702664208,446.7584820619159,0.4443763712988314,0.627385930796324,0.6463605476148249,0.627385930796324,0.08244700679568473,True
bandwidth_2x,16384,0.015,399.0120401931563,122.4035399470918,0.306766532377915,0.5437542147868342,0.5604330421810638,0.5437542147868342,0.19006481477807194,True
bandwidth_4x,16384,0.015,602.5366651827499,184.83808340866182,0.3067665323779098,0.5437542147868342,0.5604330421810638,0.5437542147868342,0.19006481477807194,True
flat_fabric,16384,0.015,87.52012418105369,26.84824500830821,0.3067665323779363,0.5437542147868342,0.5604330421810638,0.5437542147868342,0.19006481477807194,True
scaleup_2x,16384,0.015,0.0,0.0,,0.5437542147868342,0.5604330421810638,0.5437542147868342,0.19006481477807194,True
reliability_2x,16384,0.015,6177.459442372812,1886.504478708563,0.30538516623331186,0.5437542147868342,0.5604330421810638,0.5437542147868342,0.19006481477807194,True
fast_detection,16384,0.015,954.9334276136324,292.94161624078396,0.3067665323779079,0.5437542147868342,0.5604330421810638,0.5437542147868342,0.19006481477807194,True
fast_restart,16384,0.015,2399.060821653875,735.9515692224643,0.3067665323779123,0.5437542147868342,0.5604330421810638,0.5437542147868342,0.19006481477807194,True
fast_checkpoint,16384,0.015,1896.4969314028167,581.7817873117895,0.3067665323779102,0.5437542147868342,0.5604330421810638,0.5437542147868342,0.19006481477807194,True
add_spares,16384,0.015,0.0,0.0,,0.5437542147868342,0.5604330421810638,0.5437542147868342,0.19006481477807194,True
straggler_control,16384,0.015,1262.2131209324361,387.20474223034324,0.3067665323779102,0.5437542147868342,0.5604330421810638,0.5437542147868342,0.19006481477807194,True
bandwidth_2x,32768,0.001,1046.5573825693282,403.9866953033459,0.3860148540651895,0.5952516718717475,0.6131522090504348,0.5952516718717475,0.04158419788243389,True
bandwidth_4x,32768,0.001,1585.7794286321587,612.1344147230195,0.38601485406518776,0.5952516718717475,0.6131522090504348,0.5952516718717475,0.04158419788243389,True
flat_fabric,32768,0.001,300.10735216476314,115.8458957497691,0.3860148540651816,0.5952516718717475,0.6131522090504348,0.5952516718717475,0.04158419788243389,True
scaleup_2x,32768,0.001,0.0,0.0,,0.5952516718717475,0.6131522090504348,0.5952516718717475,0.04158419788243389,True
reliability_2x,32768,0.001,0.0,-1067.7257953471697,,0.5952516718717475,0.6131522090504348,0.5952516718717475,0.04158419788243389,True
fast_detection,32768,0.001,243.0543461493362,93.82258795873913,0.386014854065161,0.5952516718717475,0.6131522090504348,0.5952516718717475,0.04158419788243389,True
fast_restart,32768,0.001,587.1692584359844,226.6560556067243,0.38601485406517627,0.5952516718717475,0.6131522090504348,0.5952516718717475,0.04158419788243389,True
fast_checkpoint,32768,0.001,1158.4332416704274,447.1724387276732,0.38601485406518843,0.5952516718717475,0.6131522090504348,0.5952516718717475,0.04158419788243389,True
add_spares,32768,0.001,0.0,0.0,,0.5952516718717475,0.6131522090504348,0.5952516718717475,0.04158419788243389,True
straggler_control,32768,0.001,2269.8833085418373,876.2086740917865,0.3860148540651894,0.5952516718717475,0.6131522090504348,0.5952516718717475,0.04158419788243389,True
bandwidth_2x,32768,0.005,1306.8911288592644,354.5671191704185,0.27130578159169744,0.522434706218388,0.5382351854395233,0.522434706218388,0.14000366929553953,True
bandwidth_4x,32768,0.005,1980.2459971367716,537.2521879970292,0.27130578159170105,0.522434706218388,0.5382351854395233,0.522434706218388,0.14000366929553953,True
flat_fabric,32768,0.005,374.75980083068134,101.67450067351777,0.2713057815916999,0.522434706218388,0.5382351854395233,0.522434706218388,0.14000366929553953,True
scaleup_2x,32768,0.005,0.0,0.0,,0.522434706218388,0.5382351854395233,0.522434706218388,0.14000366929553953,True
reliability_2x,32768,0.005,5115.793777936575,1384.5310960517047,0.2706385667895603,0.522434706218388,0.5382351854395233,0.522434706218388,0.14000366929553953,True
fast_detection,32768,0.005,1431.9775911864199,388.503799598635,0.27130578159170243,0.522434706218388,0.5382351854395233,0.522434706218388,0.14000366929553953,True
fast_restart,32768,0.005,3546.1283093592065,962.0851125951519,0.27130578159169966,0.522434706218388,0.5382351854395233,0.522434706218388,0.14000366929553953,True
fast_checkpoint,32768,0.005,3325.9288222819014,902.3437186475566,0.27130578159170093,0.522434706218388,0.5382351854395233,0.522434706218388,0.14000366929553953,True
add_spares,32768,0.005,0.0,0.0,,0.522434706218388,0.5382351854395233,0.522434706218388,0.14000366929553953,True
straggler_control,32768,0.005,2834.522415002415,769.0223192414207,0.2713057815916991,0.522434706218388,0.5382351854395233,0.522434706218388,0.14000366929553953,True
bandwidth_2x,32768,0.015,2157.333959558193,278.50419241482535,0.1290964670448432,0.41036026207183834,0.4229474343537675,0.41036026207183834,0.31166807979665295,False
bandwidth_4x,32768,0.015,3268.86597021381,421.9990479977219,0.12909646704484484,0.41036026207183834,0.4229474343537675,0.41036026207183834,0.31166807979665295,False
flat_fabric,32768,0.015,618.6299892593233,79.86294602136259,0.12909646704483455,0.41036026207183834,0.4229474343537675,0.41036026207183834,0.31166807979665295,False
scaleup_2x,32768,0.015,0.0,0.0,,0.41036026207183834,0.4229474343537675,0.41036026207183834,0.31166807979665295,False
reliability_2x,32768,0.015,inf,5153.614401552701,,0.41036026207183834,0.4229474343537675,0.41036026207183834,0.31166807979665295,False
fast_detection,32768,0.015,6215.080556488567,802.3449422417747,0.12909646704484362,0.41036026207183834,0.4229474343537675,0.41036026207183834,0.31166807979665295,False
fast_restart,32768,0.015,16232.673756048607,2095.5808325974353,0.12909646704484415,0.41036026207183834,0.4229474343537675,0.41036026207183834,0.31166807979665295,False
fast_checkpoint,32768,0.015,9877.44688691706,1275.1434965240778,0.12909646704484326,0.41036026207183834,0.4229474343537675,0.41036026207183834,0.31166807979665295,False
add_spares,32768,0.015,0.0,0.0,,0.41036026207183834,0.4229474343537675,0.41036026207183834,0.31166807979665295,False
straggler_control,32768,0.015,4679.051934763054,604.0490738972558,0.12909646704484476,0.41036026207183834,0.4229474343537675,0.41036026207183834,0.31166807979665295,False
bandwidth_2x,65536,0.001,4494.40622179315,981.8713955750466,0.21846520922252233,0.47691410433142,0.4912486911180073,0.47691410433142,0.06960434754460898,True
bandwidth_4x,65536,0.001,6846.008932278448,1495.6147737294657,0.21846520922252202,0.47691410433142,0.4912486911180073,0.47691410433142,0.06960434754460898,True
flat_fabric,65536,0.001,1495.0651161235874,326.61971339523643,0.21846520922252385,0.47691410433142,0.4912486911180073,0.47691410433142,0.06960434754460898,True
scaleup_2x,65536,0.001,0.0,0.0,,0.47691410433142,0.4912486911180073,0.47691410433142,0.06960434754460898,True
reliability_2x,65536,0.001,0.0,-2845.644136630871,,0.47691410433142,0.4912486911180073,0.47691410433142,0.06960434754460898,True
fast_detection,65536,0.001,1356.0518152245204,296.2501435296212,0.2184652092225335,0.47691410433142,0.4912486911180073,0.47691410433142,0.06960434754460898,True
fast_restart,65536,0.001,3297.000232310369,720.2798455583902,0.21846520922252255,0.47691410433142,0.4912486911180073,0.47691410433142,0.06960434754460898,True
