n_accelerators,failure_rate_per_node_day,ucf_analytical,ucf_monte_carlo,rel_error_ucf,discarded_analytical,discarded_monte_carlo,rel_error_discarded,failures_analytical,failures_monte_carlo,recovery_pressure,within_validity_envelope
2048,0.001,0.7791017760277843,0.7791752136378093,9.425932822204935e-05,30690891.32348772,30316844.45794665,0.012187553029938002,7.670134943181818,7.47,0.006705837041106837,True
2048,0.005,0.7646969086731529,0.7647074306108631,1.3759618472219625e-05,73315467.11513983,73335157.57230265,0.0002685716662202255,38.15459363957551,38.013333333333335,0.018451505120211244,True
2048,0.015,0.7415558688518851,0.7415894391165313,4.52700410802592e-05,136795711.1305653,136606408.0994056,0.0013838374726457456,113.01832459910905,112.96333333333334,0.03967869435755354,True
2048,0.03,0.7149404368339431,0.7147875290318443,0.00021387488274688624,205382459.1530008,206211317.19662225,0.004035680783255148,221.83033066210572,222.23,0.06629449236616716,True
8192,0.001,0.7298317849418906,0.7298269480822294,6.627362305992548e-06,259221785.14944714,259352176.49370325,0.0005030107488108283,30.56656642490713,30.576666666666668,0.01591706481669485,True
8192,0.005,0.6963099510139982,0.6961599480393555,0.0002154255794049556,647444223.818135,650648117.5131357,0.004948524640634699,149.83868169991328,150.31666666666666,0.04897907535354979,True
8192,0.015,0.6400202101935178,0.6399059503657167,0.00017852534338964554,1242113976.6337545,1244901608.1884525,0.0022442638977887793,428.516129032258,428.81,0.11238791312269575,True
8192,0.03,0.5768254837565663,0.5768496279891306,4.185708371814898e-05,1865653036.6870193,1865530916.1903946,6.545723895240819e-05,800.8538283062643,800.7033333333334,0.1900648147780719,True
16384,0.001,0.6779724003595601,0.6780395471293932,9.904056536445001e-05,763633321.6401924,759672796.7000926,0.0051864223677315505,60.83182538285513,60.803333333333335,0.02540477411277592,True
16384,0.005,0.627385930796324,0.6272333758333603,0.00024315968126684294,1951631354.3345203,1958010880.8782706,0.0032688174073354226,292.57239627434376,293.23,0.08244700679568473,True
16384,0.015,0.5437542147868342,0.5437764671683674,4.092360284861024e-05,3733641058.401181,3733277182.1139054,9.74588294868415e-05,801.3549883990717,801.21,0.19006481477807194,True
16384,0.03,0.45660023465828653,0.45659845507373387,3.897467450921043e-06,5463713083.599617,5466219755.390954,0.00045878539977900186,1417.5277207392196,1417.1833333333334,0.31166807979665295,False
65536,0.001,0.47691410433142,0.4768981261019673,3.350336949062629e-05,6837104930.965987,6835851204.18187,0.00018337100231392983,236.33824585399213,236.69666666666666,0.06960434754460898,True
65536,0.005,0.38217698718621207,0.38215816585669493,4.924767881946666e-05,17585484451.51182,17590293074.406475,0.00027344273101557483,1024.545589325426,1024.77,0.23472265180688714,True
65536,0.015,0.25751489774082653,0.25747110753857294,0.0001700491996298521,30309456432.729588,30326092487.91505,0.0005488734257701353,2306.404006677796,2306.596666666667,0.4771991199619554,False
65536,0.03,0.1678837396441548,0.1679232360141677,0.0002352602467435227,38692658698.90511,38689658990.1102,7.75265617764108e-05,3355.217496962329,3354.9333333333334,0.659498345545528,False
