oversubscription,failure_rate_per_node_day,n_pool,productive_accelerators,productive_per_pool
1.0,0.001,4219,3210.838205389789,0.7610424757975324
1.0,0.001,4351,3306.6646601599264,0.7599780878326652
1.0,0.001,4483,3402.2540650604933,0.7589235032479351
1.0,0.001,4615,3497.60801519311,0.7578782264773803
1.0,0.001,4747,3592.7280527256808,0.756841805924938
1.0,0.001,4879,3687.6156707916552,0.7558138288156703
1.0,0.001,5010,3782.2723169896963,0.7549445742494404
1.0,0.001,5142,3876.6993965348147,0.7539283151565178
1.0,0.001,5274,3970.898275103619,0.7529196577746718
1.0,0.001,5406,4064.870281411169,0.7519182910490508
1.0,0.001,5538,4158.616709550498,0.7509239273294507
1.0,0.001,5670,4252.138821122493,0.7499363000216037
1.0,0.001,5801,4345.437847179082,0.749084269467175
1.0,0.001,5933,4438.514990000585,0.7481063526041776
1.0,0.001,6065,4531.371424724726,0.7471346124855278
1.0,0.001,6197,4624.008300842826,0.7461688398971803
1.0,0.001,6329,4716.4267435768825,0.7452088392442539
1.0,0.001,6724,4992.173533077265,0.7424410370430198
1.0,0.001,7252,5357.088836801672,0.7387050243797121
1.0,0.001,7779,5718.639099233896,0.7351380767751505
1.0,0.001,8306,6076.884075366209,0.7316258217392498
1.0,0.001,8834,6431.880101349269,0.7280824203474382
1.0,0.001,9493,6871.137403784946,0.7238109558395603
1.0,0.001,10152,7305.273157281578,0.7195895544997615
1.0,0.001,10811,7734.8071581792965,0.7154571416316063
1.0,0.001,11602,8244.033726652257,0.7105700505647523
1.0,0.001,12393,8746.618722677944,0.7057708966899011
1.0,0.001,13316,9324.53284743772,0.7002502889334425
1.0,0.001,14239,9894.001826614664,0.6948522948672423
1.0,0.001,15294,10534.495001486379,0.6887992023987433
1.0,0.001,16349,11164.02228484796,0.6828565835737942
1.0,0.001,17403,11783.26588068417,0.677082450191586
1.0,0.001,18722,12542.974863167086,0.6699591316722084
1.0,0.001,20040,13286.962171950594,0.6630220644685925
1.0,0.001,21359,14016.107713235118,0.6562155397366505
1.0,0.001,22941,14871.61420069774,0.6482548363496683
1.0,0.001,24523,15706.978287896085,0.6404998690166817
1.0,0.001,26237,16589.57118631995,0.6322968017044612
1.0,0.001,28082,17515.37961758737,0.623722655707833
1.0,0.001,30060,18479.521089638354,0.614754527266745
1.0,0.001,32038,19416.21156647627,0.6060369425830661
