circuit_gbps,placement,regime,alpha_us,cut,applicable,retention,step_ratio,reason
100.0,hierarchical,scale-up,0.5,tp,True,0.001086179618594248,920.6580411573335,
100.0,hierarchical,scale-up,0.5,cp,False,,,cp has degree 1 in this job
100.0,hierarchical,scale-up,0.5,pp,True,0.2781982337503343,3.5945591261281624,
100.0,hierarchical,scale-up,0.5,dp,True,0.8705637205884272,1.1486809941081446,
100.0,hierarchical,scale-up,0.5,checkpoint,True,0.7284991028072172,1.0,
100.0,hierarchical,rail,3.0,tp,True,0.001086179152597947,920.6584361412004,
100.0,hierarchical,rail,3.0,cp,False,,,cp has degree 1 in this job
100.0,hierarchical,rail,3.0,pp,True,0.27819816905303085,3.594559962072854,
100.0,hierarchical,rail,3.0,dp,True,0.8705631266387461,1.1486817778062928,
100.0,hierarchical,rail,3.0,checkpoint,True,0.7284991021275278,1.0,
100.0,hierarchical,campus-stitch,40.0,tp,True,0.0010861722558994432,920.664281902427,
100.0,hierarchical,campus-stitch,40.0,cp,False,,,cp has degree 1 in this job
100.0,hierarchical,campus-stitch,40.0,pp,True,0.278197211536458,3.5945723340542863,
100.0,hierarchical,campus-stitch,40.0,dp,True,0.8705543362782227,1.1486933765388854,
100.0,hierarchical,campus-stitch,40.0,checkpoint,True,0.7284990920681291,1.0,
100.0,hierarchical,metro,500.0,tp,True,0.0010860865204736481,920.7369589338929,
100.0,hierarchical,metro,500.0,cp,False,,,cp has degree 1 in this job
100.0,hierarchical,metro,500.0,pp,True,0.27818530782670325,3.594726147877495,
100.0,hierarchical,metro,500.0,dp,True,0.8704450655356794,1.1488375769981434,
100.0,hierarchical,metro,500.0,checkpoint,True,0.7284989670053684,1.0,
100.0,hierarchical,region,40000.0,tp,True,0.0010787745979817936,926.9777040271731,
100.0,hierarchical,region,40000.0,cp,False,,,cp has degree 1 in this job
100.0,hierarchical,region,40000.0,pp,True,0.27716692696967704,3.6079340740008394,
100.0,hierarchical,region,40000.0,dp,True,0.8611632535916086,1.161220007738779,
100.0,hierarchical,region,40000.0,checkpoint,True,0.7284882281662717,1.0,
100.0,blind,scale-up,0.5,tp,True,0.00015531297111530406,6438.612260257399,
100.0,blind,scale-up,0.5,cp,False,,,cp has degree 1 in this job
100.0,blind,scale-up,0.5,pp,True,0.025051112478754793,39.91838689192244,
100.0,blind,scale-up,0.5,dp,True,0.12350816459940919,8.096630722701091,
100.0,blind,scale-up,0.5,checkpoint,True,0.7284991028072172,1.0,
100.0,blind,rail,3.0,tp,True,0.00015531290442039785,6438.615025144466,
100.0,blind,rail,3.0,cp,False,,,cp has degree 1 in this job
100.0,blind,rail,3.0,pp,True,0.025051104609697616,39.918399431092816,
100.0,blind,rail,3.0,dp,True,0.12350664636601853,8.096730252365907,
100.0,blind,rail,3.0,checkpoint,True,0.7284991021275278,1.0,
100.0,blind,campus-stitch,40.0,tp,True,0.0001553119173424834,6438.655945473051,
100.0,blind,campus-stitch,40.0,cp,False,,,cp has degree 1 in this job
100.0,blind,campus-stitch,40.0,pp,True,0.025050988148229484,39.91858501081429,
100.0,blind,campus-stitch,40.0,dp,True,0.1234841808751983,8.098203291405152,
100.0,blind,campus-stitch,40.0,checkpoint,True,0.7284990920681291,1.0,
100.0,blind,metro,500.0,tp,True,0.00015529964661054914,6439.164684693316,
100.0,blind,metro,500.0,cp,False,,,cp has degree 1 in this job
100.0,blind,metro,500.0,pp,True,0.02504954033930734,39.92089221816242,
100.0,blind,metro,500.0,dp,True,0.1232055610595705,8.116516749730923,
100.0,blind,metro,500.0,checkpoint,True,0.7284989670053684,1.0,
100.0,blind,region,40000.0,tp,True,0.00015425314720715432,6482.849900346277,
100.0,blind,region,40000.0,cp,False,,,cp has degree 1 in this job
100.0,blind,region,40000.0,pp,True,0.02492583870668806,40.119011110012586,
100.0,blind,region,40000.0,dp,True,0.1032089153067249,9.689085453791625,
100.0,blind,region,40000.0,checkpoint,True,0.7284882281662717,1.0,
200.0,hierarchical,scale-up,0.5,tp,True,0.0021700340868936276,460.8222543782644,
200.0,hierarchical,scale-up,0.5,cp,False,,,cp has degree 1 in this job
200.0,hierarchical,scale-up,0.5,pp,True,0.4353575551937595,2.2969625496792894,
200.0,hierarchical,scale-up,0.5,dp,True,0.9310994155242696,1.0739991705793681,
200.0,hierarchical,scale-up,0.5,checkpoint,True,0.8160851272705462,1.0,
200.0,hierarchical,rail,3.0,tp,True,0.002170032226897259,460.822649362131,
200.0,hierarchical,rail,3.0,cp,False,,,cp has degree 1 in this job
200.0,hierarchical,rail,3.0,pp,True,0.4353573967520362,2.296963385623981,
200.0,hierarchical,rail,3.0,dp,True,0.9310987361006955,1.0739999542775163,
200.0,hierarchical,rail,3.0,checkpoint,True,0.8160851262535503,1.0,
200.0,hierarchical,campus-stitch,40.0,tp,True,0.0021700046993237978,460.8284951233577,
200.0,hierarchical,campus-stitch,40.0,cp,False,,,cp has degree 1 in this job
200.0,hierarchical,campus-stitch,40.0,pp,True,0.43535505182801565,2.296975757605413,
200.0,hierarchical,campus-stitch,40.0,dp,True,0.9310886807477275,1.0740115530101086,
200.0,hierarchical,campus-stitch,40.0,checkpoint,True,0.8160851112020078,1.0,
200.0,hierarchical,metro,500.0,tp,True,0.0021696625229325403,460.9011721548237,
200.0,hierarchical,metro,500.0,cp,False,,,cp has degree 1 in this job
200.0,hierarchical,metro,500.0,pp,True,0.4353259008276507,2.2971295714286217,
200.0,hierarchical,metro,500.0,dp,True,0.9309636863836045,1.0741557534693669,
200.0,hierarchical,metro,500.0,checkpoint,True,0.8160849240748113,1.0,
200.0,hierarchical,region,40000.0,tp,True,0.0021406770899321573,467.141917248104,
200.0,hierarchical,region,40000.0,cp,False,,,cp has degree 1 in this job
200.0,hierarchical,region,40000.0,pp,True,0.432837194158689,2.310337497551966,
200.0,hierarchical,region,40000.0,dp,True,0.9203542172124194,1.0865381842100021,
200.0,hierarchical,region,40000.0,checkpoint,True,0.8160688562084321,1.0,
200.0,blind,scale-up,0.5,tp,True,0.00031058198611408274,3219.7617528039136,
200.0,blind,scale-up,0.5,cp,False,,,cp has degree 1 in this job
200.0,blind,scale-up,0.5,pp,True,0.04888914513382879,20.45443824518934,
200.0,blind,scale-up,0.5,dp,True,0.22026873821954007,4.539908877143102,
200.0,blind,scale-up,0.5,checkpoint,True,0.8160851272705462,1.0,
200.0,blind,rail,3.0,tp,True,0.0003105817194100701,3219.764517690981,
200.0,blind,rail,3.0,cp,False,,,cp has degree 1 in this job
200.0,blind,rail,3.0,pp,True,0.04888911516336777,20.45445078435971,
200.0,blind,rail,3.0,dp,True,0.22026390931357348,4.540008406807916,
200.0,blind,rail,3.0,checkpoint,True,0.8160851262535503,1.0,
200.0,blind,campus-stitch,40.0,tp,True,0.00031057777224423794,3219.8054380195676,
200.0,blind,campus-stitch,40.0,cp,False,,,cp has degree 1 in this job
200.0,blind,campus-stitch,40.0,pp,True,0.0488886716048408,20.45463636408119,
200.0,blind,campus-stitch,40.0,dp,True,0.2201924662522674,4.541481445847163,
200.0,blind,campus-stitch,40.0,checkpoint,True,0.8160851112020078,1.0,
200.0,blind,metro,500.0,tp,True,0.00031052870774773663,3220.3141772398294,
200.0,blind,metro,500.0,cp,False,,,cp has degree 1 in this job
