circuit_gbps,cut,regime,blind_step_ratio,hierarchical_step_ratio,cliff_removed_x
400.0,pp,scale-up,10.722463921822794,1.6481642614548533,14.999999999999991
400.0,pp,rail,10.722476460993162,1.6481650973995443,14.999999999999996
400.0,pp,campus-stitch,10.722662040714642,1.6481774693809768,14.999999999999986
400.0,pp,metro,10.72496924806277,1.648331283204185,14.999999999999993
400.0,pp,region,10.92308813991294,1.6615392093275296,14.999999999999993
400.0,dp,scale-up,2.761547954364106,1.0366582588149797,48.05323578664573
400.0,dp,rail,2.76164748402892,1.0366590425131277,48.05492351302057
400.0,dp,campus-stitch,2.7631205230681672,1.0366706412457203,48.07989342902302
400.0,dp,metro,2.781433981393937,1.0368148417049783,48.389016464331085
400.0,dp,region,4.354002685454639,1.0491972724456138,68.174565757937
3200.0,pp,scale-up,2.2069863888770636,1.080465759258471,14.999999999999984
3200.0,pp,rail,2.206998928047434,1.0804665952031622,15.000000000000005
3200.0,pp,campus-stitch,2.207184507768914,1.0804789671845942,15.000000000000004
3200.0,pp,metro,2.2094917151170423,1.0806327810078027,15.000000000000025
3200.0,pp,region,2.40761060696721,1.0938407071311473,14.999999999999998
3200.0,dp,scale-up,1.2054821469324852,1.0039849610211398,51.56440573506887
3200.0,dp,rail,1.2055816765972993,1.003985744719288,51.57923827947211
3200.0,dp,campus-stitch,1.2070547156365459,1.0039973434518805,51.79807993209555
3200.0,dp,metro,1.2253681739623161,1.0041415439111385,54.416463714460946
3200.0,dp,region,2.797936878023018,1.016523974651774,108.80777270074005
204800.0,pp,scale-up,1.00949736080657,1.0006331573871048,14.999999999997195
204800.0,pp,rail,1.0095098999769405,1.000633993331796,15.0
204800.0,pp,campus-stitch,1.0096954796984203,1.000646365313228,14.999999999999657
204800.0,pp,metro,1.0120026870465488,1.0008001791364367,14.99999999999778
204800.0,pp,region,1.210121578896716,1.0140081052597811,14.99999999999992
204800.0,dp,scale-up,0.9970804762943218,0.9996090729237506,inf
204800.0,dp,rail,0.9971800059591357,0.9996098566218987,inf
204800.0,dp,campus-stitch,0.9986530449983826,0.9996214553544913,inf
204800.0,dp,metro,1.0169665033241526,0.9997656558137493,inf
204800.0,dp,region,2.5895352073848548,1.0121480865543848,130.8465493943255
