dp,world_size,cut,circuit_gbps,alpha_us,retention,step_ratio
32,4096,pp,800.0,600.0,0.919182473797048,1.0879232671496695
32,4096,dp,800.0,600.0,0.9930034962179015,1.007045799746674
64,8192,pp,800.0,600.0,0.8538205736595279,1.1712062590784595
64,8192,dp,800.0,600.0,0.990472684595922,1.0096189582532151
128,16384,pp,800.0,600.0,0.7553066465344539,1.3239655768796206
128,16384,dp,800.0,600.0,0.9821487262500449,1.0181757337487098
256,32768,pp,800.0,600.0,0.6313149772756208,1.583995368390283
256,32768,dp,800.0,600.0,0.9676712439612395,1.0334088216845425
512,65536,pp,800.0,600.0,0.5064026109176397,1.9747133573974365
512,65536,dp,800.0,600.0,0.9468787830346409,1.0561013911359505
