cut,regime,placement,circuit_gbps,retention
pp,campus-stitch,hierarchical,100.0,0.278197211536458
pp,campus-stitch,hierarchical,200.0,0.43535505182801565
pp,campus-stitch,hierarchical,400.0,0.606730779043825
pp,campus-stitch,hierarchical,800.0,0.755413486466457
pp,campus-stitch,hierarchical,1600.0,0.8608972893436966
pp,campus-stitch,hierarchical,3200.0,0.9255154707969017
pp,campus-stitch,hierarchical,6400.0,0.9616040409271046
pp,campus-stitch,hierarchical,12800.0,0.9807247113208976
pp,campus-stitch,hierarchical,25600.0,0.9905730585340288
pp,campus-stitch,hierarchical,51200.0,0.9955717785815026
pp,campus-stitch,hierarchical,102400.0,0.99809010520825
pp,campus-stitch,hierarchical,204800.0,0.9993540522050206
pp,campus-stitch,blind,100.0,0.025050988148229484
pp,campus-stitch,blind,200.0,0.0488886716048408
pp,campus-stitch,blind,400.0,0.09326042322353677
pp,campus-stitch,blind,800.0,0.170745349648876
pp,campus-stitch,blind,1600.0,0.2920832615257585
pp,campus-stitch,blind,3200.0,0.4530658839259564
pp,campus-stitch,blind,6400.0,0.6254158575478482
pp,campus-stitch,blind,12800.0,0.7723129424832851
pp,campus-stitch,blind,25600.0,0.8750821797271919
pp,campus-stitch,blind,51200.0,0.9374542111481662
pp,campus-stitch,blind,102400.0,0.9720976459726317
pp,campus-stitch,blind,204800.0,0.9903976199820997
pp,metro,hierarchical,100.0,0.27818530782670325
pp,metro,hierarchical,200.0,0.4353259008276507
pp,metro,hierarchical,400.0,0.6066741620386551
pp,metro,hierarchical,800.0,0.755325722877202
pp,metro,hierarchical,1600.0,0.8607833062229496
pp,metro,hierarchical,3200.0,0.9253837358768587
pp,metro,hierarchical,6400.0,0.9614618330361229
pp,metro,hierarchical,12800.0,0.9805767922753335
pp,metro,hierarchical,25600.0,0.9904221540220178
pp,metro,hierarchical,51200.0,0.9954193473276789
pp,metro,hierarchical,102400.0,0.997936901880198
pp,metro,hierarchical,204800.0,0.9992004606382794
pp,metro,blind,100.0,0.02504954033930734
pp,metro,blind,200.0,0.048883157765396826
pp,metro,blind,400.0,0.0932403605894374
pp,metro,blind,800.0,0.17067811187283224
pp,metro,blind,1600.0,0.29188656015149284
pp,metro,blind,3200.0,0.45259278102657535
