circuit_gbps,cut,regime,accelerators_connected,accelerators_delivered,efficiency
400.0,pp,scale-up,8438,787.7397120362949,0.09335621142880954
400.0,pp,rail,8438,787.7350327671213,0.0933556568816214
400.0,pp,campus-stitch,8438,787.6657801382954,0.09334744964900396
400.0,pp,metro,8438,786.8048883140948,0.09324542407135515
400.0,pp,region,8438,713.4749658042102,0.0845549852813712
400.0,dp,scale-up,8438,6229.837109834725,0.7383073133248075
400.0,dp,rail,8438,6229.826021177503,0.7383059991914557
400.0,dp,campus-stitch,8438,6229.661911010817,0.7382865502501561
400.0,dp,metro,8438,6227.62192904033,0.7380447889358058
400.0,dp,region,8438,6054.540991285512,0.7175327081400228
800.0,pp,scale-up,8438,3048.58042099421,0.36129182519485775
800.0,pp,rail,8438,3048.5731673358855,0.3612909655529611
800.0,pp,campus-stitch,8438,3048.4658142638277,0.36127824297983263
800.0,pp,metro,8438,3047.131321981423,0.3611200903035581
800.0,pp,region,8438,2933.6841447081756,0.347675295651597
800.0,dp,scale-up,8438,6498.85330517362,0.770188824979097
800.0,dp,rail,8438,6498.841806042466,0.7701874621998656
800.0,dp,campus-stitch,8438,6498.671620971403,0.7701672933125626
800.0,dp,metro,8438,6496.556130342057,0.7699165833541192
800.0,dp,region,8438,6317.108003467708,0.7486499174529163
3200.0,pp,scale-up,8438,5635.129433827356,0.6678276171874088
3200.0,pp,rail,8438,5635.118545607495,0.6678263268081887
3200.0,pp,campus-stitch,8438,5634.9574019234215,0.66780722942918
3200.0,pp,metro,8438,5632.954302054639,0.6675698390678643
3200.0,pp,region,8438,5463.050106960341,0.6474342387959636
3200.0,dp,scale-up,8438,6707.181520844356,0.7948781133970557
3200.0,dp,rail,8438,6707.169698713643,0.7948767123386635
3200.0,dp,campus-stitch,8438,6706.99473333694,0.7948559769301896
3200.0,dp,metro,8438,6704.81982561676,0.7945982253634463
3200.0,dp,region,8438,6520.3628699676265,0.772737955672864
